"Model","Variable","Beta","SE","HR","Lower_95CI","Upper_95CI","P_value"
"m1_stepaic_forward","t",0.402135035328966,0.118670111108055,1.4950131986453,1.18476671652607,1.88650173316587,0.000702299103284814
"m1_stepaic_forward","ALBIscore",0.515079586708436,0.195820530939905,1.67377170647759,1.1402851909648,2.45685180128888,0.00852930895224996
"m1_stepaic_forward","afp_l3_log1p",0.0655143901177506,0.0381996456803814,1.06770810164826,0.990688087265892,1.1507159568977,0.0863356389046359
"m1_stepaic_forward","sm1",0.50234538828171,0.252337292604832,1.65259270047657,1.00780367399756,2.70991533781117,0.0465062328780072
"m1_stepaic_forward","fc_inf1",0.391158735433671,0.148857779459373,1.47869321579374,1.1045111610252,1.97963923189775,0.00859555525715303
"m1_stepaic_forward","alt_log1p",0.112392111033373,0.0943606419520431,1.11895152787618,0.930017990172237,1.34626699157139,0.233617864096318
"m1_stepaic_forward","liver_damageB",0.245295890990086,0.181273498168685,1.27799940577454,0.895839835711407,1.82318581519993,0.175997747607483
"m1_stepaic_forward","liver_damageC",NA,0,NA,NA,NA,NA
"m1_stepaic_forward","macroVITRUE",0.667697664502058,0.222796739930338,1.94974318616908,1.25988957516589,3.017326730013,0.00272747735587181
"m1_stepaic_forward","m",-0.883629901811189,0.365686884754783,0.413280019764463,0.20182323770244,0.846286962199742,0.0156767016922592
"m1_stepaic_forward","stage_diagBR1",0.0808145962179397,0.204756169961493,1.08416986873762,0.725785964386119,1.61951919981359,0.693073906063931
"m1_stepaic_forward","stage_diagBR2",0.513936149829429,0.197298833064354,1.67185894794909,1.13568675999124,2.46116485663617,0.0091911383865366
"m1_stepaic_forward","child_pughB",-0.815499903024011,0.370678649633846,0.442418105922297,0.213949193404676,0.914861034683363,0.0278055793788971
"m1_stepaic_forward","child_pughC",NA,0,NA,NA,NA,NA
"m1_stepaic_forward","plt_log1p",-0.31460115762911,0.168816981238814,0.730080003047306,0.524412672938107,1.01640718913836,0.0623830330411292
"m1_stepaic_forward","fibrosis_score",-0.101169013910185,0.0578551056597252,0.903780268539444,0.806894026382186,1.01229993914262,0.0803494947504837
"m1_stepaic_forward","icg_r15_log1p",0.2251032870763,0.14365491928904,1.25245207162406,0.945108842443181,1.65974131366749,0.117121153739849
"m1_stepaic_forward","microVITRUE",0.302737267929771,0.194801602787666,1.35355879441714,0.923978147358779,1.98286227350848,0.120165343693318
"m2_stepaic_backward","alb",5.87570342430787,3.0817499313107,356.275185173479,0.848389484886735,149615.253172713,0.0565707648785169
"m2_stepaic_backward","child_pughB",-0.703443063944232,0.387632604829289,0.494878468893703,0.231496850883574,1.05791805823633,0.069567575312463
"m2_stepaic_backward","child_pughC",NA,0,NA,NA,NA,NA
"m2_stepaic_backward","liver_damageB",0.295173628137157,0.182704555127152,1.34335958346051,0.939017916338247,1.92181101028656,0.106185384247556
"m2_stepaic_backward","liver_damageC",NA,0,NA,NA,NA,NA
"m2_stepaic_backward","stage_diagBR1",0.0944430118297934,0.201757233556998,1.09904652869765,0.740082287558782,1.63212022845017,0.639711481493649
"m2_stepaic_backward","stage_diagBR2",0.53417305281875,0.196388887534071,1.70603685639436,1.16097237267619,2.50700346009675,0.00652866626092645
"m2_stepaic_backward","ALBIscore",7.50038685165334,3.63966931008241,1808.74199396142,1.44306033087521,2267089.96895186,0.0393285144054854
"m2_stepaic_backward","microVITRUE",0.34647657461508,0.194160190118582,1.41407636815914,0.966503455325791,2.06891342598679,0.0743443651523367
"m2_stepaic_backward","macroVITRUE",0.65758423603763,0.223207593243628,1.93012397390479,1.24620806428134,2.98937124659866,0.00321844023454621
"m2_stepaic_backward","afp_log1p",0.0369104551735767,0.0207675295770996,1.03760010495686,0.996214030079051,1.08070549630891,0.0755163213945937
"m2_stepaic_backward","tbil_log1p",-4.82940944467777,2.3719317048725,0.00799123914154137,0.000076493089081496,0.834845393016698,0.0417437305799045
"m2_stepaic_backward","plt_log1p",-0.342365513040343,0.169788377829223,0.710088610622574,0.509082792453589,0.990459395623484,0.0437555637891177
"m2_stepaic_backward","icg_r15_log1p",0.213608733360858,0.148055343901472,1.23813811786789,0.926283988410627,1.65498488379125,0.149087319126337
"m2_stepaic_backward","fc_inf1",0.374810482578004,0.14893114315019,1.45471569452398,1.08644489967239,1.94781875503537,0.0118469862013891
"m2_stepaic_backward","sm1",0.513322246620167,0.253503353531637,1.67083290335377,1.0166010955979,2.74609441502489,0.0428762942215759
"m2_stepaic_backward","t",0.395594869531109,0.119524865992187,1.48526746853998,1.17507319224618,1.87734642204397,0.000933864672164308
"m2_stepaic_backward","m",-1.0008029041126,0.367338838049236,0.367584187801118,0.178927640692254,0.755155182277305,0.00644051740744972
"m2_stepaic_backward","fibrosis_score",-0.0893584809739825,0.0573633443969048,0.914517677617936,0.817267704567118,1.02333981631966,0.119289499830828
"m3_stepbic_forward","t",0.625625171869294,0.0738191596491455,1.86941429741832,1.61759791055372,2.16043170715755,2.34866432731209e-17
"m3_stepbic_forward","ALBIscore",0.595028299546967,0.153113390822453,1.81308225364054,1.34303444898683,2.4476418017022,0.000101828253641565
"m4_stepbic_backward","alb",7.23782735429736,2.99252335854013,1391.06838654312,3.94555389465488,490443.498607677,0.0155787831302763
"m4_stepbic_backward","ALBIscore",9.23016103806417,3.54575430818873,10200.183997336,9.78264889943183,10635539.9901505,0.00923691957913207
"m4_stepbic_backward","tbil_log1p",-5.73811445069364,2.2567577416222,0.00322083559771866,0.000038637844045323,0.268487598204576,0.0110019640373912
