"Model","C-index (Train)","C-index (Val)","C-index (Test)","AUC at 24mo","Overfitting","vs TNM","Rank"
"m1_stepaic_forward",0.716396360400283,0.691387070376432,0.775967413441955,0.78125,-0.0595710530416719,NA,1
"m5_univariate_screen",0.718530357240152,0.722176759410802,0.766802443991853,0.760125,-0.0482720867517016,NA,2
"m6_rfe",0.720246635549663,0.6805441898527,0.749151391717583,0.747875,-0.0289047561679201,NA,3
"m2_stepaic_backward",0.71550643831387,0.671644844517185,0.745530663045938,0.7475,-0.0300242247320679,NA,4
"m7_lasso",0.703106554548592,0.692205400981997,0.743833446481104,0.734624999999999,-0.0407268919325128,NA,5
"m7k_lasso_constrained",0.701862479795136,0.69051759410802,0.742079656030776,0.7330625,-0.0402171762356399,NA,6
"m8_predefined",0.707928479322933,0.682743453355156,0.741966508259787,0.7335625,-0.0340380289368545,NA,7
"m3_stepbic_forward",0.697589945696591,0.688471767594108,0.730595157275402,0.7239375,-0.0330052115788106,NA,8
"m4_stepbic_backward",0.700931693939449,0.678651800327332,0.690088255261371,0.6819375,0.0108434386780776,NA,9
